fecha,pais,dist_num_A,agot_num_A,ventas_unidades_A,ppu_A,inventarios_A,share_A,inversion_promos_A,inversion_promos_tv_A,dist_num_B,agot_num_B,ventas_unidades_B,ppu_B,inventarios_B,share_B
01/04/17,CAM,376,26,17279800,3.536826381,22897400,0.316006423,0,0,430,26,29490500,3.213198199,31090700,0.539311069
01/05/17,CAM,384,25,17460500,3.53392778,23459200,0.320437883,0,0,430,25,29419900,3.240402976,30847700,0.5399187
01/06/17,CAM,384,26,17427000,3.518911287,23507900,0.329188335,0,0,429,31,28066400,3.229764469,29363700,0.530161902
01/07/17,CAM,382,27,17037600,3.523688313,23337800,0.324002989,0,0,432,27,27994900,3.25521929,30051800,0.532377288
01/08/17,CAM,381,25,16967300,3.509760922,22914500,0.326752312,0,0,430,26,27462100,3.262465926,31829100,0.528858727
01/09/17,CAM,378,29,16754300,3.523820213,22648600,0.328089813,0,0,427,28,26836700,3.335630014,32190900,0.525527648
01/10/17,CAM,373,36,16919900,3.508447006,21400900,0.329043299,0,0,424,29,26845300,3.301268844,30702000,0.522063728
01/11/17,CAM,369,27,16536000,3.4773916,21320900,0.329686104,0,0,417,25,26148700,3.257678068,30572400,0.521339081
01/12/17,CAM,369,25,17186400,3.456979676,20847100,0.334723274,0,0,417,22,26732700,3.240408975,31626000,0.52064754
01/01/18,CAM,375,28,17268300,3.434295877,21252300,0.331164983,0,0,428,32,27502500,3.22851568,31608000,0.527432634
01/02/18,CAM,379,25,16068000,3.396798139,21986200,0.333017615,0,0,425,28,25633400,3.206467734,31213800,0.531265479
01/03/18,CAM,379,21,16427100,3.401700391,22072000,0.324772688,0,0,429,22,27076300,3.182111847,31250000,0.535313156
01/04/18,CAM,382,29,16085100,3.401768655,21787800,0.33166112,0,0,430,26,25749400,3.185702735,30309400,0.53093079
01/05/18,CAM,380,27,16459200,3.419941795,21944700,0.326664113,0,0,429,28,27133800,3.152391611,28880800,0.538521843
01/06/18,CAM,377,31,15518800,3.401160431,21000400,0.323785918,0,0,426,28,25337200,3.173493066,29542200,0.528638074
01/07/18,CAM,374,25,15655600,3.409314239,20359400,0.319509866,0,0,422,28,25826300,3.170447509,29554800,0.527080255
01/08/18,CAM,376,27,15436500,3.379077284,19615200,0.32144642,0,0,420,27,25710900,3.127484258,29647800,0.535398359
01/09/18,CAM,374,29,15105300,3.330312804,20560000,0.320908,0,0,421,27,25151700,3.112260722,31161600,0.534341042
01/10/18,CAM,373,29,15727300,3.29249671,20306600,0.323593679,0,0,418,29,25836100,3.103798987,29940600,0.53158512
01/11/18,CAM,372,17,15941600,3.264541044,20747600,0.32383657,0,0,417,20,26155300,3.109931314,28801800,0.531316972
01/12/18,CAM,378,22,16787600,3.245289082,20476100,0.332788848,0,0,420,28,26711300,3.08852525,29306100,0.529511232
01/01/19,CAM,373,29,16978300,3.242376681,20571200,0.337077692,0,0,417,28,26706100,3.046490764,28786400,0.530208005
01/02/19,CAM,369,18,15622300,3.223909924,21471300,0.335366273,0,0,415,30,24472400,3.031820725,28657100,0.525352705
01/03/19,CAM,380,28,16766500,3.274711806,20262800,0.353693781,0,0,411,29,24241500,3.104255203,27739500,0.511380896
01/04/19,CAM,375,24,15668500,3.302902097,20586200,0.344652752,0,0,417,25,23159500,3.17262415,27982700,0.509428816
01/05/19,CAM,376,30,15841400,3.3134603,20424000,0.337086924,0,0,413,25,23946600,3.167864081,27806200,0.509556336
01/06/19,CAM,373,27,15866700,3.347681055,19686000,0.33821542,0,0,415,28,23909200,3.15058833,28675700,0.509649777
01/07/19,CAM,370,24,16341500,3.35119169,19800300,0.33548897,0,0,413,25,25067700,3.120339281,29020800,0.514636775
01/08/19,CAM,366,30,16293500,3.362758155,19856800,0.33018887,0,0,415,28,25528700,3.107931642,28198200,0.517340818
01/09/19,CAM,371,23,15502100,3.387614872,20492200,0.327328894,0,0,410,25,24486400,3.16673872,27559600,0.517033577
01/10/19,CAM,376,23,16045900,3.380920516,20235300,0.324638356,0,0,411,27,25628500,3.143766276,26946000,0.518512149
01/11/19,CAM,383,27,16066700,3.406215589,20169700,0.33661991,0,0,411,25,24247500,3.155720817,27241000,0.50801915
01/12/19,CAM,382,22,15768200,3.431036358,20140700,0.325755604,0,0,416,23,25224600,3.116452887,26705000,0.521115587
01/01/20,CAM,383,23,16019700,3.471572782,20139300,0.339383167,0,0,417,30,23943300,3.120323535,25302600,0.507247513
01/02/20,CAM,384,22,15127500,3.472867394,19708700,0.335497163,0,0,412,31,23024100,3.140995261,24606500,0.510627681
01/03/20,CAM,381,21,15608900,3.449707443,19234100,0.338580508,0,0,408,24,23253300,3.179986604,24623700,0.504399037
01/04/20,CAM,371,19,10371800,3.36282651,18807300,0.349000289,0,0,399,13,14853800,3.165571133,24529500,0.499814931
01/04/17,GT,50,4,3690500,3.881185612,7358000,0.267780696,0,0,61,4,7389400,3.196073497,9317000,0.536170892
01/05/17,GT,53,8,3848700,3.854256892,7315400,0.280689343,2745.12,300,62,5,7392900,3.199784185,9315500,0.539171213
01/06/17,GT,51,3,3739200,3.823292282,7772900,0.287500288,7614.58,1910,60,6,6950700,3.146090466,8675900,0.534426683
01/07/17,GT,51,5,3639500,3.843635664,7337100,0.280164119,0,0,61,5,6966800,3.206646667,8473800,0.536295475
01/08/17,GT,51,3,3485800,3.852190889,7086600,0.27451351,0,0,61,5,6881100,3.206705178,10006900,0.541899969
01/09/17,GT,51,5,3607700,3.833675333,6955500,0.288835515,9508.99,9508.99,60,5,6499000,3.37093676,10206600,0.52031544
01/10/17,GT,51,6,3556900,3.813732604,6363000,0.287205781,0,0,62,5,6367700,3.300294376,10688600,0.514166902
01/11/17,GT,47,4,3334800,3.810397775,6484200,0.277025063,0,0,60,5,6240100,3.257435939,10588100,0.518371144
01/12/17,GT,44,5,3273100,3.768661972,6022000,0.275219252,0,0,59,4,6269900,3.23520096,10553400,0.527205765
01/01/18,GT,46,5,3357200,3.75692035,5909500,0.262595133,0,0,62,6,7037100,3.142936437,10980100,0.550431375
01/02/18,GT,47,2,2941900,3.717829464,6390100,0.252121077,73928.4,72648.4,63,5,6618600,3.121747122,10371500,0.567214576
01/03/18,GT,48,3,3318500,3.67369429,6053600,0.261032014,171398,166118,62,2,7143500,3.058975012,9594900,0.561905136
01/04/18,GT,49,3,3315000,3.653632579,5904800,0.273122745,0,0,63,3,6822100,3.067682458,9211700,0.562072602
01/05/18,GT,50,3,3434700,3.53181355,6191800,0.270764355,0,0,65,5,7183000,3.022811082,8510500,0.566250434
01/06/18,GT,49,4,3268900,3.499204472,5987200,0.264574717,0,0,64,5,6807600,3.028683016,9524900,0.550986216
01/07/18,GT,47,3,3294100,3.538673082,5212100,0.256613798,0,0,62,5,7230900,3.075631111,9801400,0.563294591
01/08/18,GT,46,2,3068200,3.526271104,5192600,0.25116241,0,0,62,2,7048300,3.045574039,9384200,0.576972823
01/09/18,GT,47,5,2792400,3.497966982,5610700,0.232593395,0,0,64,6,7040900,3.013256473,10451800,0.586472867
